Energy (MeV),Depth (g/cm2),Active
0.0,61.252161088865265,0.0
12.127677432796233,98.80915999977086,1.0
12.127677432796233,177.33239030401188,1.0
9.740868947474878,121.61333222934138,1.0
9.740868947474878,144.76125396657864,1.0
9.740868947474874,115.55230370685487,1.0
9.740868947474874,114.89283014700034,1.0
0.0,46.63289927647163,0.0
0.0,46.63289927647164,0.0
0.0,39.45817111807233,0.0
0.0,39.45817111807233,0.0
0.0,34.242387815804186,0.0
0.0,34.24238781580419,0.0
0.0,32.398602645841834,0.0
0.0,32.39860264584183,0.0
0.0,36.78409747947134,0.0
0.0,36.78409747947134,0.0
0.0,29.688571508329094,0.0
0.0,28.230704798526506,0.0
0.0,33.41075037984194,0.0
0.0,33.41075037984194,0.0
0.0,30.06651765857771,0.0
0.0,32.03133536795259,0.0
0.0,37.03481898565586,0.0
0.0,41.48527011929001,0.0
0.0,28.103183064834724,0.0
0.0,25.24415060663998,0.0
0.0,24.759764973424815,0.0
0.0,28.901452965868526,0.0
0.0,26.13040535948407,0.0
0.0,26.130405359484072,0.0
0.0,46.22195792257022,0.0
0.0,49.343876107395815,0.0
0.0,52.749769756409925,0.0
0.0,54.89703428026224,0.0
0.0,31.834592441619275,0.0
0.0,31.83459244161928,0.0
4.505547350319222,122.4662408186815,1.0
4.505547350319222,118.37000820236489,1.0
20.29972039872072,140.3245843611778,1.0
20.29972039872072,144.2925603550983,1.0
20.299720398720734,152.875184423927,1.0
20.299720398720734,162.06538415034385,1.0
0.0,20.589638794667675,0.0
0.0,17.47881900753426,0.0
0.0,28.63296759392772,0.0
0.0,26.909573907751625,0.0
0.0,40.155727384342825,0.0
0.0,40.155727384342825,0.0
0.0,45.91272555549417,0.0
0.0,45.91272555549418,0.0
0.0,41.12169170043196,0.0
0.0,41.12169170043196,0.0
1.4872864252695894,114.94813616044979,1.0
1.4872864252695894,106.00217351750176,1.0
0.0,21.235000207208003,0.0
0.0,21.235000207208003,0.0
0.0,32.15714414508618,0.0
0.0,32.15714414508618,0.0
0.0,39.02147721012471,0.0
0.0,39.0214772101247,0.0
0.0,43.47154261512929,0.0
0.0,43.471542615129295,0.0
0.0,28.050533577457408,0.0
0.0,31.72344975888295,0.0
0.0,36.69704316986408,0.0
0.0,36.69704316986408,0.0
0.0,37.20990058132214,0.0
0.0,33.804257348590426,0.0
0.0,39.8089899602545,0.0
0.0,48.73200308626487,0.0
0.0,25.636469898796992,0.0
0.0,26.449739146255798,0.0
0.0,24.78692419413307,0.0
0.0,26.862501942400993,0.0
2.269468540853794,138.0550678146165,1.0
2.269468540853794,163.10930681000082,1.0
2.2694685408537953,140.75095638416826,1.0
2.2694685408537953,171.98845810953182,1.0
0.0,59.76487010674354,0.0
0.0,56.66999422173662,0.0
10.757441186362536,110.67490099826205,1.0
10.757441186362536,96.55246412017912,1.0
0.0,38.801008018087785,0.0
0.0,38.801008018087785,0.0
0.0,42.40875682335536,0.0
0.0,42.40875682335536,0.0
0.0,29.15356155506585,0.0
0.0,29.15356155506585,0.0
0.0,32.633624726840154,0.0
0.0,32.63362472684015,0.0
0.0,36.91667125117397,0.0
0.0,34.19379899516943,0.0
0.0,14.228920163545105,0.0
0.0,14.228920163545105,0.0
0.0,22.940677975450924,0.0
0.0,22.940677975450924,0.0
0.0,28.82364083443386,0.0
0.0,28.823640834433863,0.0
0.0,24.78837337989774,0.0
0.0,24.788373379897738,0.0
0.0,40.0146362807604,0.0
0.0,40.0146362807604,0.0
0.0,24.427374055609867,0.0
0.0,24.427374055609867,0.0
0.0,50.05079568015783,0.0
0.0,52.79650528236548,0.0
0.0,36.473088593469015,0.0
0.0,36.04241728221102,0.0
0.0,65.47425585295596,0.0
0.0,54.77135498577927,0.0
0.0,31.31709604909089,0.0
0.0,31.317096049090885,0.0
0.0,44.07245966615725,0.0
0.0,44.07245966615724,0.0
0.0,33.12221525604754,0.0
0.0,33.12221525604754,0.0
0.0,39.03401773024641,0.0
0.0,39.034017730246404,0.0
0.0,48.368189377155154,0.0
0.0,45.23318933479496,0.0
0.0,26.034092695297627,0.0
0.0,26.03409269529763,0.0
0.0,32.17778983508916,0.0
0.0,32.17778983508916,0.0
0.0,26.7803378614829,0.0
0.0,26.7803378614829,0.0
0.0,25.909306708959996,0.0
0.0,25.909306708959996,0.0
0.0,46.447769987679514,0.0
0.0,46.447769987679514,0.0
0.0,45.975970913868764,0.0
0.0,45.975970913868764,0.0
0.0,62.993634034042095,0.0
0.0,63.53849753688826,0.0
