Energy (MeV),I. Depth (g/cm2),C. Depth (g/cm2),Active
0.0,40.84113122321857,2.5014986624924567,0.0
0.0,40.84113122321857,2.501498662492457,0.0
0.0,25.86445089860876,14.593253279347982,0.0
0.0,25.86445089860876,16.4447473845971,0.0
0.0,47.00830346586247,7.2056829434767415,0.0
0.0,47.00830346586247,0.4181634244418255,0.0
25.36933655914902,55.98977087908986,40.802391992343374,1.0
25.399244521413785,55.98977087908986,55.44875381859397,1.0
12.184870238939405,62.09392198731789,41.359075244343416,1.0
12.184870238939405,62.09392198731789,55.295477200615274,1.0
4.791370159217659,71.11404672118003,65.86963003713657,1.0
4.791370159217659,71.11404672118003,35.071253276319595,1.0
0.0,36.04212332616266,1.3311101007236263,0.0
0.0,36.04212332616266,1.3311101007236266,0.0
2.961127298874808,63.02390512499885,50.74223385643787,1.0
2.961127298874808,63.02390512499885,63.98102390760231,1.0
0.0,49.348533518687674,1.7361100496181319,0.0
0.0,49.348533518687674,1.7361100496181323,0.0
1.733039369008874,56.98077012602832,46.39070971162632,1.0
1.7330393690088672,56.98077012602832,42.27906781490409,1.0
0.0,46.036150568223775,0.5832449862974338,0.0
0.0,46.036150568223775,0.5832449862974336,0.0
0.0,46.92175986406434,0.3077902678434956,0.0
0.0,46.92175986406434,2.7185373592756523,0.0
0.0,44.5966785183623,1.1435630166658672,0.0
0.0,44.5966785183623,1.1435630166658672,0.0
34.507444051385065,65.00829351288415,42.40932367718029,1.0
34.507444051385065,65.00829351288415,72.50002572526542,1.0
18.80900703794808,63.7283209455687,101.13212024408602,1.0
18.80900703794808,63.7283209455687,44.85124456986466,1.0
0.0,39.39166178158602,2.6542722095303155,0.0
0.0,39.39166178158602,2.6542722095303155,0.0
0.0,39.113705117794325,1.711384723098499,0.0
0.0,39.113705117794325,1.7113847230985,0.0
0.0,51.6934312475145,0.65272542412478,0.0
0.0,51.6934312475145,3.8902633340761072,0.0
0.0,54.3328919534065,1.4855769065519773,0.0
0.0,54.3328919534065,1.7766901780211488,0.0
5.654796470346695,44.556863359775114,49.37606205795537,1.0
0.0,44.556863359775114,12.425811703001344,0.0
0.0,47.05684116729741,3.3543573591857276,0.0
0.0,47.05684116729741,1.896872332436173,0.0
36.51947913256857,97.86819849439226,33.147851103492854,1.0
36.51947913256857,97.86819849439226,93.21060455405198,1.0
0.0,51.12825100332648,3.0296997036025264,0.0
0.0,51.12825100332648,1.7895661660133388,0.0
0.0,50.24380244410564,2.5797958269425276,0.0
0.0,50.24380244410564,1.4189814636320128,0.0
15.465120106265168,71.9215255927764,64.63652010073709,1.0
15.465120106265168,71.9215255927764,47.28885096261068,1.0
0.0,32.036869514561786,12.065366301116757,0.0
0.0,32.036869514561786,9.917508019788862,0.0
0.0,32.74826041686398,9.019162387968729,0.0
0.0,32.74826041686398,11.800422085708085,0.0
1.429473466887636,71.07343083899949,23.689410223314326,1.0
1.429473466887636,71.07343083899949,56.0388585930061,1.0
4.89142847139416,62.24637191787374,35.16315191613224,1.0
4.89142847139416,62.24637191787374,41.99235484166444,1.0
13.58387196843348,52.83702996590348,47.98331803705203,1.0
12.223373629438257,52.83702996590348,58.307087361427364,1.0
7.34555381281757,58.2820249940057,29.17361954523171,1.0
7.34555381281757,58.2820249940057,41.60556729491567,1.0
0.0,54.06480350053807,10.814313887797784,0.0
0.0,54.06480350053807,1.0997011031318096,0.0
0.0,43.24085976484227,1.0565554957446386,0.0
0.0,43.24085976484227,1.0565554957446386,0.0
0.0,41.60971027314961,6.8234845900436865,0.0
0.0,41.60971027314961,1.8353024611922564,0.0
0.0,36.862160985935276,6.688086208857839,0.0
0.0,36.862160985935276,4.428108697375482,0.0
4.516258637868653,66.71976252154816,50.602559601274024,1.0
4.516258637868653,66.71976252154816,37.90403649564169,1.0
1.0393496522297434,70.22081155513145,37.969961912875625,1.0
1.0393496522297434,70.22081155513145,72.03439793401486,1.0
83.25675710821403,71.46814223891289,36.05004058685256,1.0
83.25675710821403,71.46814223891289,45.244393181872695,1.0
99.4709445266455,62.306211200049766,16.71231150618058,1.0
